model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,200,35.0,6,5,log2,False,balanced,0.9984044199947608,0.7624645138396026,0.23593990615515825
RandomForest,300,34.0,6,4,log2,False,balanced,0.9984520492486485,0.7624201561391057,0.23603189310954276
RandomForest,100,22.0,3,3,log2,False,balanced,0.9987060719360498,0.7624201561391057,0.23628591579694402
RandomForest,300,23.0,4,3,log2,False,,0.9986743191001246,0.7623757984386089,0.2362985206615157
RandomForest,300,40.0,7,4,log2,True,balanced_subsample,0.9980392623816214,0.7622870830376153,0.23575217934400616
RandomForest,300,29.0,6,6,log2,False,,0.9980154477546775,0.7622427253371186,0.23577272241755898
RandomForest,300,34.0,3,4,log2,True,balanced_subsample,0.9980472005906027,0.7621540099361249,0.23589319065447778
RandomForest,200,22.0,18,1,log2,False,balanced,0.9994046343264033,0.7621540099361249,0.23725062439027833
RandomForest,150,29.0,4,6,sqrt,False,balanced,0.9987695776079001,0.7621096522356281,0.23665992537227198
RandomForest,300,25.0,4,6,sqrt,True,,0.9983329761139291,0.7620209368346345,0.23631203927929467
RandomForest,150,23.0,4,6,log2,False,balanced,0.9978804982019956,0.7619322214336409,0.23594827676835473
RandomForest,300,33.0,5,2,log2,False,balanced,0.9994919546251975,0.7618435060326473,0.2376484485925502
RandomForest,200,41.0,4,6,log2,False,,0.9980392623816214,0.7616217175301633,0.23641754485145816
RandomForest,300,38.0,10,7,sqrt,True,balanced_subsample,0.9982377176061537,0.7615773598296665,0.2366603577764872
RandomForest,300,38.0,8,8,sqrt,True,,0.9980154477546775,0.7615330021291696,0.2364824456255079
RandomForest,200,24.0,5,4,log2,False,,0.9983726671588357,0.7614886444286728,0.23688402273016285
RandomForest,150,41.0,5,2,log2,True,balanced,0.9991347352210395,0.7614886444286728,0.23764609079236665
RandomForest,200,22.0,18,2,log2,True,balanced_subsample,0.9984520492486485,0.761444286728176,0.2370077625204725
RandomForest,150,34.0,7,7,log2,True,,0.9968961602883157,0.7613555713271823,0.2355405889611334
RandomForest,300,24.0,5,7,sqrt,True,,0.9982059647702285,0.7613555713271823,0.23685039344304615
RandomForest,300,30.0,5,2,log2,True,,0.9989442182054885,0.7613555713271823,0.23758864687830616
RandomForest,100,15.0,13,3,log2,False,,0.9977614250672763,0.7613112136266856,0.23645021144059064
RandomForest,300,39.0,4,5,log2,True,balanced,0.9979281274558834,0.7612668559261888,0.23666127152969463
RandomForest,100,25.0,8,4,log2,False,,0.998436172830686,0.7612668559261888,0.23716931690449716
RandomForest,200,28.0,7,8,sqrt,True,,0.9979678185007899,0.761222498225692,0.23674532027509787
RandomForest,100,33.0,2,8,log2,False,balanced,0.9974756495439498,0.7611781405251952,0.23629750901875468
RandomForest,150,33.0,8,6,sqrt,True,balanced_subsample,0.9982853468600414,0.7611781405251952,0.23710720633484628
RandomForest,300,34.0,4,3,log2,True,balanced_subsample,0.9984044199947608,0.7610894251242015,0.2373149948705593
