model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
RandomForest,,,,,0.9993093758186278,0.7893452803406671,0.2099640954779607,41.0,7.0,4.0,,,,150.0,,False
RandomForest,,,,,0.9993093758186278,0.7893452803406671,0.2099640954779607,35.0,7.0,4.0,,,,300.0,,False
RandomForest,,,,,0.9993093758186278,0.7893452803406671,0.2099640954779607,24.0,6.0,4.0,,,,200.0,,False
RandomForest,,,,,0.9993093758186278,0.7893452803406671,0.2099640954779607,25.0,6.0,4.0,,,,300.0,,False
DecisionTree,,,,,0.992157049526486,0.7893009226401704,0.2028561268863155,30.0,6.0,8.0,log_loss,random,0.001,,,
DecisionTree,,,,,0.998301223278004,0.7892122072391767,0.2090890160388272,28.0,10.0,9.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9983091614869852,0.7892122072391767,0.2090969542478086,30.0,10.0,9.0,entropy,best,0.0,,,
DecisionTree,,,,,0.9983091614869852,0.7892122072391767,0.2090969542478086,26.0,7.0,9.0,entropy,best,0.0,,,
DecisionTree,,,,,0.9983091614869852,0.7892122072391767,0.2090969542478086,23.0,6.0,9.0,entropy,best,1e-06,,,
DecisionTree,,,,,0.9989124653695634,0.7885468417317246,0.2103656236378387,20.0,9.0,5.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.9980630770085652,0.788458126330731,0.2096049506778343,28.0,30.0,11.0,entropy,best,0.0,,,
DecisionTree,,,,,0.9981345208893968,0.788458126330731,0.2096763945586659,34.0,24.0,9.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.998547307756424,0.7883250532292406,0.2102222545271833,24.0,22.0,5.0,log_loss,best,1e-05,,,
DecisionTree,,,,,0.99673739610869,0.7881919801277502,0.2085454159809397,8.0,29.0,9.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9980948298444904,0.7877484031227822,0.2103464267217083,29.0,14.0,12.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9987537011899376,0.7873491838183109,0.2114045173716267,20.0,11.0,6.0,log_loss,best,0.0,,,
DecisionTree,,,,,0.9980948298444904,0.787304826117814,0.2107900037266764,29.0,15.0,13.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9980948298444904,0.787304826117814,0.2107900037266764,27.0,16.0,13.0,entropy,best,1e-05,,,
DecisionTree,,,,,0.9738674160335944,0.7871717530163236,0.1866956630172709,5.0,29.0,8.0,log_loss,random,1e-05,,,
DecisionTree,,,,,0.9912679701205814,0.7871717530163236,0.2040962171042578,6.0,2.0,13.0,log_loss,best,1e-06,,,
DecisionTree,,,,,0.9984758638755924,0.7871717530163236,0.2113041108592688,27.0,7.0,8.0,log_loss,best,1e-06,,,
DecisionTree,,,,,0.9984758638755924,0.7871717530163236,0.2113041108592688,31.0,5.0,8.0,entropy,best,1e-06,,,
DecisionTree,,,,,0.9982535940241164,0.7869943222143364,0.2112592718097798,23.0,4.0,8.0,log_loss,best,0.0001,,,
DecisionTree,,,,,0.9981424590983782,0.7868612491128459,0.2112812099855322,35.0,10.0,11.0,log_loss,best,1e-06,,,
DecisionTree,,,,,0.9981424590983782,0.7868612491128459,0.2112812099855322,29.0,17.0,11.0,log_loss,best,0.0,,,
DecisionTree,,,,,0.9981424590983782,0.7868612491128459,0.2112812099855322,32.0,15.0,11.0,log_loss,best,1e-05,,,
